aux,DB,DP_DB,DP_DA,Rep,DA,Epsilon,Col,Error,EuD,Query
1,3201879.188900747,3586245.777198869,-26008171.322387695,37,3205300,0.1,#NodesRequested_sum,29213471.322387695,906919151.629362,sum
1,3201879.188900747,3568640.51036564,31567961.758636475,38,3205300,0.1,#NodesRequested_sum,-28362661.758636475,881209695.194367,sum
1,3201879.188900747,3574113.360729421,6767069.447479248,39,3205300,0.1,#NodesRequested_sum,-3561769.447479248,185544851.100922,sum
1,3201879.188900747,3481947.8429613104,-67784977.91000366,40,3205300,0.1,#NodesRequested_sum,70990277.91000366,2178095865.761518,sum
1,3201879.188900747,3445054.4931943277,47615841.685302734,41,3205300,0.1,#NodesRequested_sum,-44410541.685302734,1367433125.7997139,sum
1,3201879.188900747,3423838.170961553,12874152.60168457,42,3205300,0.1,#NodesRequested_sum,-9668852.60168457,330814006.7791398,sum
1,3201879.188900747,3465829.8703423403,-18817634.072113037,43,3205300,0.1,#NodesRequested_sum,22022934.072113037,690147489.6831714,sum
1,3201879.188900747,3455151.946880556,-845104.4669494629,44,3205300,0.1,#NodesRequested_sum,4050404.466949463,193014137.68001902,sum
1,3201879.188900747,3459659.848855034,-3242215.0982055664,45,3205300,0.1,#NodesRequested_sum,6447515.098205566,246602555.2996424,sum
1,3201879.188900747,3439804.289477333,4973967.948638916,46,3205300,0.1,#NodesRequested_sum,-1768667.948638916,157604612.02304462,sum
1,3201879.188900747,3530958.6658587786,28854712.91921997,47,3205300,0.1,#NodesRequested_sum,-25649412.91921997,798770233.8283716,sum
1,3201879.188900747,3498657.623546189,3311296.4179382324,48,3205300,0.1,#NodesRequested_sum,-105996.41793823242,147571031.21709058,sum
1,3201879.188900747,3407440.7455564598,32343936.433258057,49,3205300,0.1,#NodesRequested_sum,-29138636.433258057,903552579.2411172,sum
1,3201879.188900747,3392891.632715081,15465379.6696167,50,3205300,0.1,#NodesRequested_sum,-12260079.6696167,402070509.5685936,sum
1,3201879.188900747,3434207.5316024707,-39479023.275634766,51,3205300,0.1,#NodesRequested_sum,42684323.275634766,1314475959.7729735,sum
1,3201879.188900747,3362841.0565719362,99942801.71350098,52,3205300,0.1,#NodesRequested_sum,-96737501.71350098,2964545229.3743253,sum
1,3201879.188900747,3290048.7361453534,10887939.469085693,53,3205300,0.1,#NodesRequested_sum,-7682639.469085693,275240192.6785112,sum
1,3201879.188900747,3266363.626734543,31137378.73739624,54,3205300,0.1,#NodesRequested_sum,-27932078.73739624,866860575.569472,sum
1,3201879.188900747,3176079.411793895,-8740135.971801758,55,3205300,0.1,#NodesRequested_sum,11945435.971801758,392791259.79304993,sum
1,3201879.188900747,3257065.553905707,-92793149.06951904,56,3205300,0.1,#NodesRequested_sum,95998449.06951904,2941930906.330133,sum
1,3201879.188900747,3213748.1894630627,10985926.443695068,57,3205300,0.1,#NodesRequested_sum,-7780626.443695068,276932205.5684881,sum
1,3201879.188900747,3244622.6296574525,2287505.1217651367,58,3205300,0.1,#NodesRequested_sum,917794.8782348633,144479471.42733487,sum
1,3201879.188900747,3133799.279835354,110079637.22946167,59,3205300,0.1,#NodesRequested_sum,-106874337.22946167,3274410019.853431,sum
1,3201879.188900747,3096645.7577941595,41840304.87982178,60,3205300,0.1,#NodesRequested_sum,-38635004.87982178,1190694077.014205,sum
1,3201879.188900747,3079174.997579548,27771615.25808716,61,3205300,0.1,#NodesRequested_sum,-24566315.25808716,764508738.457143,sum
1,3201879.188900747,3088436.8769521113,32627319.524017334,62,3205300,0.1,#NodesRequested_sum,-29422019.524017334,910946351.5988063,sum
1,3201879.188900747,3100905.0239961473,-21716904.970611572,63,3205300,0.1,#NodesRequested_sum,24922204.970611572,775013209.7491721,sum
1,3201879.188900747,3089227.197146669,22291857.036499023,64,3205300,0.1,#NodesRequested_sum,-19086557.036499023,600011718.3869497,sum
1,3201879.188900747,3119677.8465416012,-21107155.261627197,65,3205300,0.1,#NodesRequested_sum,24312455.261627197,756635255.5581058,sum
1,3201879.188900747,3208233.2566823154,-1169013.9473266602,66,3205300,0.1,#NodesRequested_sum,4374313.94732666,191162889.1719187,sum
1,3201879.188900747,3177845.1996216667,22407587.43661499,67,3205300,0.1,#NodesRequested_sum,-19202287.43661499,603360751.236414,sum
1,3201879.188900747,3185195.6017889758,-5076619.5074157715,68,3205300,0.1,#NodesRequested_sum,8281919.5074157715,287881840.0947381,sum
1,3201879.188900747,3255343.9632296325,-25979708.81802368,69,3205300,0.1,#NodesRequested_sum,29185008.81802368,903820875.9874432,sum
1,3201879.188900747,3376765.0740778055,-144803871.54040527,70,3205300,0.1,#NodesRequested_sum,148009171.54040527,4532506192.45259,sum
1,3201879.188900747,3387161.51631717,26339701.857421875,71,3205300,0.1,#NodesRequested_sum,-23134401.857421875,720102148.7419833,sum
1,3201879.188900747,2882040.3442492327,17883235.286865234,72,3205300,0.1,#NodesRequested_sum,-14677935.286865234,470380765.38131005,sum
1,3201879.188900747,2907794.326315812,-36561245.47109985,73,3205300,0.1,#NodesRequested_sum,39766545.47109985,1225243057.3868928,sum
1,3201879.188900747,2888848.0095817624,6464909.150238037,74,3205300,0.1,#NodesRequested_sum,-3259609.150238037,171943736.03730246,sum
1,3201879.188900747,2931309.9483963023,-44739378.9102478,75,3205300,0.1,#NodesRequested_sum,47944678.9102478,1474181431.0149772,sum
1,3201879.188900747,2933381.431295006,6326348.785614014,76,3205300,0.1,#NodesRequested_sum,-3121048.7856140137,168588878.96079063,sum
1,3201879.188900747,3042799.760470831,-90651346.1427002,77,3205300,0.1,#NodesRequested_sum,93856646.1427002,2876229567.679693,sum
1,3201879.188900747,3090406.7651358107,104889026.02850342,78,3205300,0.1,#NodesRequested_sum,-101683726.02850342,3115549817.008118,sum
1,3201879.188900747,3005597.2513252916,55841288.72036743,79,3205300,0.1,#NodesRequested_sum,-52635988.72036743,1616705064.7868195,sum
1,3201879.188900747,3036263.348170318,18379304.266540527,80,3205300,0.1,#NodesRequested_sum,-15174004.266540527,483789041.12743986,sum
1,3201879.188900747,3019279.178619389,-10354481.51953125,81,3205300,0.1,#NodesRequested_sum,13559781.51953125,436940608.02866036,sum
1,3201879.188900747,3171620.1802164647,-147032073.7361145,82,3205300,0.1,#NodesRequested_sum,150237373.7361145,4600594530.775437,sum
1,3201879.188900747,3185849.8919311166,-5821759.652709961,83,3205300,0.1,#NodesRequested_sum,9027059.652709961,304585606.59024125,sum
1,3201879.188900747,3131922.1820248426,-10821607.823822021,84,3205300,0.1,#NodesRequested_sum,14026907.823822021,447699492.5160912,sum
1,3201879.188900747,3094027.995648021,-3167025.968902588,85,3205300,0.1,#NodesRequested_sum,6372325.968902588,233104639.8847547,sum
1,3201879.188900747,3158303.0667953207,60005853.89959717,86,3205300,0.1,#NodesRequested_sum,-56800553.89959717,1743341522.140653,sum
1,3201879.188900747,3215587.1780817118,-35565272.27807617,87,3205300,0.1,#NodesRequested_sum,38770572.27807617,1193715967.6283178,sum
1,3201879.188900747,3142013.9700329434,1118488.5103759766,88,3205300,0.1,#NodesRequested_sum,2086811.4896240234,145503706.24903518,sum
1,3201879.188900747,3113682.3973186375,35993788.506347656,89,3205300,0.1,#NodesRequested_sum,-32788488.506347656,1011832850.4536704,sum
1,3201879.188900747,3183280.297595237,21093939.840698242,90,3205300,0.1,#NodesRequested_sum,-17888639.840698242,563791542.9179074,sum
1,3201879.188900747,3000848.8889902616,42487444.32180786,91,3205300,0.1,#NodesRequested_sum,-39282144.32180786,1209389086.5912528,sum
1,3201879.188900747,3208159.0244782977,-7615170.785064697,92,3205300,0.1,#NodesRequested_sum,10820470.785064697,354720971.70129085,sum
1,3201879.188900747,3283169.2440978247,7161151.279754639,93,3205300,0.1,#NodesRequested_sum,-3955851.2797546387,178537743.50698233,sum
1,3201879.188900747,3328750.2560738125,134959177.60443115,94,3205300,0.1,#NodesRequested_sum,-131753877.60443115,4035017751.738033,sum
1,3201879.188900747,3171532.362873623,-5299135.553527832,95,3205300,0.1,#NodesRequested_sum,8504435.553527832,291164306.1942737,sum
1,3201879.188900747,3232373.120929742,-40868504.27566528,96,3205300,0.1,#NodesRequested_sum,44073804.27566528,1355295861.8512797,sum
1,3201879.188900747,3161195.5681721293,-13161965.12487793,97,3205300,0.1,#NodesRequested_sum,16367265.12487793,516177789.248709,sum
1,3201879.188900747,3238857.5623726496,-183408.58334350586,98,3205300,0.1,#NodesRequested_sum,3388708.583343506,163279912.14479685,sum
1,3201879.188900747,3143444.270444929,-43931338.43380737,99,3205300,0.1,#NodesRequested_sum,47136638.43380737,1447957090.1789114,sum
1,3201879.188900747,3211532.8078123233,21804072.94418335,100,3205300,0.1,#NodesRequested_sum,-18598772.94418335,582359978.5595076,sum
1,3201879.188900747,3239041.6788118174,-14567819.707336426,101,3205300,0.1,#NodesRequested_sum,17773119.707336426,558821512.1554161,sum
1,3201879.188900747,3088949.5487973755,-34756942.4180603,102,3205300,0.1,#NodesRequested_sum,37962242.4180603,1168876917.731378,sum
1,3201879.188900747,3144574.7462571426,-23747082.905517578,103,3205300,0.1,#NodesRequested_sum,26952382.905517578,833734065.2838032,sum
1,3201879.188900747,3124472.9908848032,-25164104.18182373,104,3205300,0.1,#NodesRequested_sum,28369404.18182373,877020181.5264064,sum
1,3201879.188900747,3121935.718746605,45072870.21801758,105,3205300,0.1,#NodesRequested_sum,-41867570.21801758,1287157543.3784928,sum
1,3201879.188900747,3099480.0914143184,32504435.244049072,106,3205300,0.1,#NodesRequested_sum,-29299135.244049072,905714411.8309335,sum
1,3201879.188900747,3033700.760870894,-1241456.8399353027,107,3205300,0.1,#NodesRequested_sum,4446756.839935303,187646918.88239735,sum
1,3201879.188900747,3424809.6302307276,-23006380.98638916,108,3205300,0.1,#NodesRequested_sum,26211680.98638916,816524674.1956043,sum
1,3201879.188900747,3318963.9574489,-3714788.3228149414,109,3205300,0.1,#NodesRequested_sum,6920088.322814941,260452936.665669,sum
1,3201879.188900747,3374498.749670523,11370071.689422607,110,3205300,0.1,#NodesRequested_sum,-8164771.689422607,293021855.70250225,sum
1,3201879.188900747,3501705.043911253,-108829996.31591797,111,3205300,0.1,#NodesRequested_sum,112035296.31591797,3432629868.23969,sum
1,3201879.188900747,3375869.2972238637,-20874473.6763916,112,3205300,0.1,#NodesRequested_sum,24079773.6763916,752132746.6838746,sum
1,3201879.188900747,3616830.6263388284,-29384452.91671753,113,3205300,0.1,#NodesRequested_sum,32589752.91671753,1009574877.6290604,sum
1,3201879.188900747,3522426.480840168,20810333.51159668,114,3205300,0.1,#NodesRequested_sum,-17605033.51159668,560104327.5289193,sum
1,3201879.188900747,3496512.9749035747,43208865.35708618,115,3205300,0.1,#NodesRequested_sum,-40003565.35708618,1234031687.4866135,sum
1,3201879.188900747,3424070.3762471904,41828169.93347168,116,3205300,0.1,#NodesRequested_sum,-38622869.93347168,1191602385.291393,sum
1,3201879.188900747,3219031.5753008295,98649413.7149353,117,3205300,0.1,#NodesRequested_sum,-95444113.7149353,2925495172.0138035,sum
1,3201879.188900747,3381136.1170431357,-9538901.324920654,118,3205300,0.1,#NodesRequested_sum,12744201.324920654,417653525.15711457,sum
1,3201879.188900747,3247166.470947306,92447038.97525024,119,3205300,0.1,#NodesRequested_sum,-89241738.97525024,2735558814.505481,sum
1,3201879.188900747,3313732.2003522404,-12942605.823181152,120,3205300,0.1,#NodesRequested_sum,16147905.823181152,515917592.6258115,sum
1,3201879.188900747,3202716.477836784,-2994774.173828125,121,3205300,0.1,#NodesRequested_sum,6200074.173828125,239536524.28393126,sum
1,3201879.188900747,3132497.7825694657,15989620.226287842,122,3205300,0.1,#NodesRequested_sum,-12784320.226287842,418758027.82337123,sum
1,3201879.188900747,3225720.08049286,55932568.55981445,123,3205300,0.1,#NodesRequested_sum,-52727268.55981445,1620955822.5937734,sum
1,3201879.188900747,3190354.118014182,-55818860.15621948,124,3205300,0.1,#NodesRequested_sum,59024160.15621948,1812885209.932105,sum
1,3201879.188900747,3358202.4528889162,17292560.73275757,125,3205300,0.1,#NodesRequested_sum,-14087260.732757568,454068057.82788515,sum
1,3201879.188900747,3162840.169532674,151008646.07458496,126,3205300,0.1,#NodesRequested_sum,-147803346.07458496,4526394105.662769,sum
1,3201879.188900747,3194321.6688334895,-28638326.460113525,127,3205300,0.1,#NodesRequested_sum,31843626.460113525,984922771.6796697,sum
1,3201879.188900747,3093900.557915768,-13166761.376922607,128,3205300,0.1,#NodesRequested_sum,16372061.376922607,519935800.41183954,sum
1,3201879.188900747,3294426.0158311157,-17812396.632141113,129,3205300,0.1,#NodesRequested_sum,21017696.632141113,658993881.1545422,sum
1,3201879.188900747,3429866.3633358036,-20468021.14581299,130,3205300,0.1,#NodesRequested_sum,23673321.14581299,738050801.261344,sum
1,3201879.188900747,3348626.480684942,-7398200.690979004,131,3205300,0.1,#NodesRequested_sum,10603500.690979004,351472533.3093567,sum
1,3201879.188900747,3356237.5649903705,-11312634.307220459,132,3205300,0.1,#NodesRequested_sum,14517934.307220459,465217415.6772824,sum
1,3201879.188900747,3288465.719336869,41221357.61477661,133,3205300,0.1,#NodesRequested_sum,-38016057.61477661,1171730460.9309056,sum
1,3201879.188900747,3153476.315797942,40399882.13168335,134,3205300,0.1,#NodesRequested_sum,-37194582.13168335,1148113758.4638884,sum
1,3201879.188900747,3195355.7140600067,1024289.0698547363,135,3205300,0.1,#NodesRequested_sum,2181010.9301452637,153511713.49586838,sum
1,3201879.188900747,3119878.9749577907,-65252898.408721924,136,3205300,0.1,#NodesRequested_sum,68458198.40872192,2099774812.6505413,sum
1,3201879.188900747,3312954.079153625,131689214.12564087,137,3205300,0.1,#NodesRequested_sum,-128483914.12564087,3935067178.5178246,sum
1,3201879.188900747,3169615.2475148407,-12854678.655975342,138,3205300,0.1,#NodesRequested_sum,16059978.655975342,509120431.8231847,sum
1,3201879.188900747,3317336.6006115573,-13170841.23034668,139,3205300,0.1,#NodesRequested_sum,16376141.23034668,521077612.9031858,sum
1,3201879.188900747,3242321.608705535,14136330.318084717,140,3205300,0.1,#NodesRequested_sum,-10931030.318084717,361654343.2733522,sum
1,3201879.188900747,3418472.648391235,26122779.726654053,141,3205300,0.1,#NodesRequested_sum,-22917479.726654053,713572355.719268,sum
1,3201879.188900747,3134300.3887135596,69897041.61837769,142,3205300,0.1,#NodesRequested_sum,-66691741.618377686,2045631869.126396,sum
1,3201879.188900747,3309373.2524619615,-55573934.39663696,143,3205300,0.1,#NodesRequested_sum,58779234.39663696,1803672151.819236,sum
1,3201879.188900747,3357740.380559687,-7220801.246246338,144,3205300,0.1,#NodesRequested_sum,10426101.246246338,343378826.0004563,sum
1,3201879.188900747,3310878.8446603813,-65772853.95510864,145,3205300,0.1,#NodesRequested_sum,68978153.95510864,2115082431.448123,sum
1,3201879.188900747,3168767.4830430397,204270511.5765686,146,3205300,0.1,#NodesRequested_sum,-201065211.5765686,6155764199.637123,sum
1,3201879.188900747,3174825.2982575,-2220515.5630493164,147,3205300,0.1,#NodesRequested_sum,5425815.563049316,207237245.6970995,sum
1,3201879.188900747,3085280.036247518,-695054.619934082,148,3205300,0.1,#NodesRequested_sum,3900354.619934082,164914111.2993641,sum
1,3201879.188900747,3198713.644598038,18768397.004577637,149,3205300,0.1,#NodesRequested_sum,-15563097.004577637,492068715.08614814,sum
1,3201879.188900747,3129070.8453058796,8923089.92074585,0,3205300,0.2,#NodesRequested_sum,-5717789.92074585,185838916.23658022,sum
1,3201879.188900747,3159964.4515254144,8910097.213928223,1,3205300,0.2,#NodesRequested_sum,-5704797.213928223,185348990.1365167,sum
1,3201879.188900747,3218163.0906976173,-3758329.4533309937,2,3205300,0.2,#NodesRequested_sum,6963629.453330994,222598878.74442717,sum
1,3201879.188900747,3071389.0001075505,9329338.980880737,3,3205300,0.2,#NodesRequested_sum,-6124038.980880737,196911060.46274665,sum
1,3201879.188900747,3236521.141944079,-5747796.063400269,4,3205300,0.2,#NodesRequested_sum,8953096.063400269,280116071.9912294,sum
1,3201879.188900747,3140333.0745120114,2089162.0955581665,5,3205300,0.2,#NodesRequested_sum,1116137.9044418335,74032062.57139039,sum
1,3201879.188900747,3217179.795676823,4460680.701042175,6,3205300,0.2,#NodesRequested_sum,-1255380.7010421753,75788358.56547621,sum
1,3201879.188900747,3190583.4239996662,-1891385.7941131592,7,3205300,0.2,#NodesRequested_sum,5096685.794113159,169510011.16917753,sum
1,3201879.188900747,3226282.2993491367,2805934.316192627,8,3205300,0.2,#NodesRequested_sum,399365.68380737305,61915292.36909402,sum
1,3201879.188900747,3119596.920285126,5940519.974479675,9,3205300,0.2,#NodesRequested_sum,-2735219.9744796753,105248219.97074759,sum
1,3201879.188900747,3186407.2208241634,-29622218.273086548,10,3205300,0.2,#NodesRequested_sum,32827518.273086548,1006727344.6121674,sum
1,3201879.188900747,3207227.5663647056,-214073.27570343018,11,3205300,0.2,#NodesRequested_sum,3419373.27570343,121486163.10670756,sum
1,3201879.188900747,3220908.567828444,1503271.646812439,12,3205300,0.2,#NodesRequested_sum,1702028.353187561,81381414.59226912,sum
1,3201879.188900747,3256854.5227555423,12300360.522247314,13,3205300,0.2,#NodesRequested_sum,-9095060.522247314,285037107.07856035,sum
1,3201879.188900747,3217358.1877270946,8072279.179618835,14,3205300,0.2,#NodesRequested_sum,-4866979.179618835,161790487.86840472,sum
1,3201879.188900747,3166473.606507329,8556416.338317871,15,3205300,0.2,#NodesRequested_sum,-5351116.338317871,175354630.99040613,sum
1,3201879.188900747,3109735.4864632557,-4349427.721885681,16,3205300,0.2,#NodesRequested_sum,7554727.721885681,240164509.8061794,sum
1,3201879.188900747,3137909.69800291,5808918.6767578125,17,3205300,0.2,#NodesRequested_sum,-2603618.6767578125,101417508.21899244,sum
1,3201879.188900747,3136033.296483519,-276623.5420913696,18,3205300,0.2,#NodesRequested_sum,3481923.5420913696,124408722.55448818,sum
1,3201879.188900747,3198559.272942495,-5230337.286437988,19,3205300,0.2,#NodesRequested_sum,8435637.286437988,266534761.00561357,sum
1,3201879.188900747,3224588.2384404354,7778378.44821167,20,3205300,0.2,#NodesRequested_sum,-4573078.44821167,156062656.99484262,sum
1,3201879.188900747,3158322.395805884,-2369974.974960327,21,3205300,0.2,#NodesRequested_sum,5575274.974960327,183535998.0156367,sum
1,3201879.188900747,3243400.6887597195,-2586774.9635009766,22,3205300,0.2,#NodesRequested_sum,5792074.963500977,187784706.18834707,sum
1,3201879.188900747,3344465.637473557,6945086.664619446,23,3205300,0.2,#NodesRequested_sum,-3739786.664619446,132335107.81781965,sum
1,3201879.188900747,3162822.1357054184,-4910167.796951294,24,3205300,0.2,#NodesRequested_sum,8115467.796951294,258170873.31638184,sum
1,3201879.188900747,3128437.3195821587,1738358.7971496582,25,3205300,0.2,#NodesRequested_sum,1466941.2028503418,78459578.73874691,sum
1,3201879.188900747,3241795.042005236,1576133.4015655518,26,3205300,0.2,#NodesRequested_sum,1629166.5984344482,84922350.74086335,sum
1,3201879.188900747,3328100.817890727,22830267.656692505,27,3205300,0.2,#NodesRequested_sum,-19624967.656692505,604557451.7037178,sum
1,3201879.188900747,2970995.076815887,709059.8438568115,28,3205300,0.2,#NodesRequested_sum,2496240.1561431885,104821379.3712713,sum
1,3201879.188900747,3218808.2527253632,-2622052.809020996,29,3205300,0.2,#NodesRequested_sum,5827352.809020996,191790845.53750503,sum
1,3201879.188900747,3120736.0795191927,-20621710.56059265,30,3205300,0.2,#NodesRequested_sum,23827010.56059265,732804948.9082272,sum
1,3201879.188900747,3015022.9693815666,11057895.647384644,31,3205300,0.2,#NodesRequested_sum,-7852595.647384644,250618094.39136142,sum
1,3201879.188900747,3109394.266183375,-430206.5519332886,32,3205300,0.2,#NodesRequested_sum,3635506.5519332886,131270438.59143142,sum
1,3201879.188900747,3087153.3684890163,-5830915.20451355,33,3205300,0.2,#NodesRequested_sum,9036215.20451355,284650618.19293195,sum
1,3201879.188900747,3208934.810531268,-7269643.670249939,34,3205300,0.2,#NodesRequested_sum,10474943.670249939,328450594.73618835,sum
1,3201879.188900747,3214537.4050458157,6441367.128356934,35,3205300,0.2,#NodesRequested_sum,-3236067.1283569336,122344047.75894488,sum
1,3201879.188900747,3331251.842435576,-147219.18439483643,36,3205300,0.2,#NodesRequested_sum,3352519.1843948364,124784496.9192561,sum
1,3201879.188900747,3205395.6636061957,6194198.568374634,37,3205300,0.2,#NodesRequested_sum,-2988898.568374634,115904397.85673362,sum
1,3201879.188900747,3595418.7584604896,42200337.269836426,38,3205300,0.2,#NodesRequested_sum,-38995037.269836426,1196137505.4993927,sum
1,3201879.188900747,3605365.7475172714,8264843.851646423,39,3205300,0.2,#NodesRequested_sum,-5059543.851646423,173117251.9177212,sum
1,3201879.188900747,3594634.8915477823,1497917.400253296,40,3205300,0.2,#NodesRequested_sum,1707382.599746704,93578745.79292418,sum
1,3201879.188900747,3559579.3062312556,13056286.124412537,41,3205300,0.2,#NodesRequested_sum,-9850986.124412537,311379663.43396485,sum
1,3201879.188900747,3559016.7821433293,3439627.9154815674,42,3205300,0.2,#NodesRequested_sum,-234327.91548156738,77577130.88000993,sum
1,3201879.188900747,3524024.563746545,20618126.214744568,43,3205300,0.2,#NodesRequested_sum,-17412826.214744568,538488957.7205042,sum
1,3201879.188900747,3545277.6500421423,-10180229.566116333,44,3205300,0.2,#NodesRequested_sum,13385529.566116333,416765998.21574324,sum
1,3201879.188900747,3537212.027754624,15798594.401794434,45,3205300,0.2,#NodesRequested_sum,-12593294.401794434,392914838.90218705,sum
1,3201879.188900747,3557889.988962269,-6810250.9223098755,46,3205300,0.2,#NodesRequested_sum,10015550.922309875,315828505.0338739,sum
1,3201879.188900747,3550288.161065457,10721401.293502808,47,3205300,0.2,#NodesRequested_sum,-7516101.293502808,242246482.15446445,sum
1,3201879.188900747,3551112.450621592,2030745.3543930054,48,3205300,0.2,#NodesRequested_sum,1174554.6456069946,83951765.20983459,sum
1,3201879.188900747,3551956.489217579,5381249.93031311,49,3205300,0.2,#NodesRequested_sum,-2175949.9303131104,100958889.44310725,sum
1,3201879.188900747,3550566.9716999154,285822.9399108887,50,3205300,0.2,#NodesRequested_sum,2919477.0600891113,117142702.83726588,sum
1,3201879.188900747,3571023.3308606935,24667.049674987793,51,3205300,0.2,#NodesRequested_sum,3180632.950325012,123502108.9659691,sum
1,3201879.188900747,3584142.687244334,3798666.1464309692,52,3205300,0.2,#NodesRequested_sum,-593366.1464309692,78100221.6503765,sum
1,3201879.188900747,3601469.514408435,-568260.0982055664,53,3205300,0.2,#NodesRequested_sum,3773560.0982055664,137792513.9165944,sum
